movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
The Pirates! Band of Misfits,PG,"Action , Adventure, Animation, Comedy",04-27-12,08-28-12,88,Certified Fresh,86,151,60,85842
The Place Beyond The Pines,R,Drama,03-29-13,07-23-13,141,Certified Fresh,80,216,75,73328
The Plague Dogs,PG-13,"Action , Adventure, Animation, Drama, Science Fiction , Fantasy",12-17-83,10-20-04,103,Fresh,60,5,90,3058
The Playroom,NR,Drama,08-02-13,11-03-13,83,Rotten,54,24,55,327
The Pleasures Of Being Out Of Step,NR,"Documentary, Musical , Performing Arts",06-25-14,05-01-15,86,Fresh,100,16,57,164
The Poison Rose,R,"Mystery , Suspense",05-24-19,06-25-19,98,Rotten,0,6,23,112
The Polka King,NR,"Comedy, Drama",,12-01-18,94,Fresh,66,35,51,359
The Pool,R,"Art House , International, Comedy, Drama",05-09-08,05-02-13,63,Certified Fresh,96,47,73,851
The Possession,PG-13,"Horror, Mystery , Suspense",08-31-12,01-15-13,92,Rotten,39,97,48,61242
The Possession of Hannah Grace,R,"Horror, Mystery , Suspense",11-30-18,02-19-19,,Rotten,19,54,28,722
The Possession of Michael King,R,"Mystery , Suspense",08-22-14,08-25-14,83,Rotten,32,19,39,895
The Post,PG-13,"Drama, Mystery , Suspense",12-01-18,04-17-18,115,Certified Fresh,88,381,73,12043
The Power Of Few,R,"Drama, Science Fiction , Fantasy",02-15-13,09-07-13,96,Rotten,50,8,39,600
The Predator,R,"Action , Adventure, Horror, Science Fiction , Fantasy",09-14-18,12-18-18,,Rotten,32,277,34,6711
The Preppie Connection,R,Drama,03-18-16,03-18-16,97,Rotten,11,9,50,384
The President,PG-13,"Art House , International, Drama",03-06-16,09-27-16,118,Fresh,84,25,69,583
The Pretty One,R,"Comedy, Drama",07-02-14,03-06-14,90,Rotten,50,34,45,2519
The Price,NR,Drama,10-11-17,11-28-17,92,Fresh,75,16,45,64
The Prince,R,Drama,08-22-14,10-28-14,103,Rotten,0,10,23,3100
The Prince & Me,PG,"Comedy, Romance",02-04-04,10-08-04,110,Rotten,28,122,59,193837
The Princess and the Cobbler (The Thief and the Cobbler),G,"Action , Adventure, Animation, Comedy, Kids , Family, Science Fiction , Fantasy",07-25-93,08-03-05,72,Rotten,50,8,74,6812
The Princess Switch,NR,Romance,,11-16-18,101,Fresh,75,12,48,413
The Principal,R,"Comedy, Drama",09-18-87,07-30-02,109,Rotten,50,10,51,7199
The Prodigy,R,Horror,08-02-19,07-05-19,92,Rotten,43,77,38,753
The Professor,R,"Comedy, Drama",05-17-19,05-17-19,91,Rotten,10,20,76,330
The Professor and the Madman,NR,Drama,10-05-19,08-13-19,125,Rotten,38,16,76,203
The Program,R,Drama,03-18-16,03-18-16,103,Fresh,62,108,43,3044
